episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
360, 29.7, -1.0, -1.0, -1, -1, 0.15779092702169625, 0.1341222879684418, 0.1893491124260355, 0.22485207100591717, 0.1834319526627219, 0.11045364891518737
380, 22.0, -1.0, -1.0, -1, -1, 0.21153846153846154, 0.15384615384615385, 0.14743589743589744, 0.2329059829059829, 0.14316239316239315, 0.1111111111111111
400, 19.1, -1.0, -1.0, -1, -1, 0.15815085158150852, 0.1435523114355231, 0.1873479318734793, 0.20681265206812652, 0.170316301703163, 0.13381995133819952
420, 34.8, -1.0, -1.0, -1, -1, 0.17688266199649738, 0.1733800350262697, 0.17688266199649738, 0.19614711033274956, 0.16987740805604204, 0.10683012259194395
440, 31.3, -1.0, -1.0, -1, -1, 0.19429590017825313, 0.1443850267379679, 0.18716577540106952, 0.22994652406417113, 0.14260249554367202, 0.10160427807486631
460, 28.2, -0.8, -1.0, -1, 1, 0.17926186291739896, 0.14762741652021089, 0.21616871704745166, 0.18629173989455183, 0.18980667838312829, 0.08084358523725835
480, 31.0, -1.0, -1.0, -1, -1, 0.1847457627118644, 0.1864406779661017, 0.21525423728813559, 0.2, 0.14067796610169492, 0.07288135593220339
500, 28.5, -1.0, -1.0, -1, -1, 0.15399239543726237, 0.20532319391634982, 0.20722433460076045, 0.22053231939163498, 0.12167300380228137, 0.09125475285171103
520, 24.6, -1.0, -1.0, -1, -1, 0.20850202429149797, 0.15182186234817813, 0.23481781376518218, 0.19838056680161945, 0.11538461538461539, 0.09109311740890688
540, 39.2, -0.8, -1.0, -1, 1, 0.17114914425427874, 0.21026894865525672, 0.2469437652811736, 0.1845965770171149, 0.11613691931540342, 0.07090464547677261
560, 27.0, -1.0, -1.0, -1, -1, 0.15922330097087378, 0.14951456310679612, 0.26796116504854367, 0.1941747572815534, 0.11844660194174757, 0.11067961165048544
580, 23.8, -1.0, -1.0, -1, -1, 0.1751227495908347, 0.20294599018003273, 0.2144026186579378, 0.2078559738134206, 0.1309328968903437, 0.06873977086743044
600, 35.8, -1.0, -1.0, -1, -1, 0.15181518151815182, 0.17656765676567657, 0.23432343234323433, 0.24422442244224424, 0.10066006600660066, 0.0924092409240924
620, 37.5, -1.0, -1.0, -1, -1, 0.17647058823529413, 0.1951219512195122, 0.2539454806312769, 0.20229555236728838, 0.10329985652797705, 0.06886657101865136
